nom_departement,zone,date_debut,date_fin,controles,verbalisations,lien,jours
Saône-et-Loire,Toutes,2020-03-18,2020-04-17,65000,NA,https://www.info-chalon.com/articles/saone-et-loire/2020/04/17/43827/coronavirus-la-prefecture-de-saone-et-loire-annonce-le-renforcement-des-controles-routiers/,31
Sarthe,Toutes,2020-03-18,2020-04-29,294104,6129,https://www.ouest-france.fr/sante/virus/coronavirus/sarthe-attestations-de-sortie-plus-de-6-000-verbalisations-depuis-le-debut-du-confinement-be62a65a-8adf-11ea-b8b5-cfc7da999251,43
Sarthe,Toutes,2020-03-18,2020-05-10,335000,6800,https://www.sweetfm.fr/news/sarthe-6-800-verbalisations-pour-non-respect-du-confinement-27303,54
Savoie,Toutes,2020-03-18,2020-03-23,16000,460,NA,6
Saône-et-Loire,Toutes,2020-03-18,2020-03-23,NA,740,https://c.lejsl.com/encadres/2020/03/22/650,6
Saône-et-Loire,Toutes,2020-03-18,2020-05-07,121300,NA,https://france3-regions.francetvinfo.fr/bourgogne-franche-comte/coronavirus-j-ai-respecte-10-jours-c-est-deja-pas-mal-confinement-moins-moins-respecte-1825078.html,51
Seine-Saint-Denis,Toutes,2020-03-18,2020-04-23,220000,NA,http://www.leparisien.fr/faits-divers/confinement-15-5-millions-de-controles-915-000-proces-verbaux-dresses-23-04-2020-8304339.php,37
Seine-Saint-Denis,Toutes,2020-03-18,2020-04-25,242259,41103,https://www.liberation.fr/france/2020/04/26/la-seine-saint-denis-surverbalisee_1786502,39
Seine-et-Marne,Toutes,2020-03-18,2020-05-10,500000,20000,https://actu.fr/faits-divers/seine-marne-plus-20-000-verbalisations-dressees-pendant-confinement_33737931.html,54
Somme,Toutes,2020-03-18,2020-04-02,55500,3500,https://france3-regions.francetvinfo.fr/hauts-de-france/coronavirus-pres-7700-infractions-au-confinement-relevees-oise-somme-1810822.html,16
Somme,Toutes,2020-03-18,2020-04-03,55000,3500,https://www.francebleu.fr/infos/faits-divers-justice/confinement-les-pires-excuses-entendues-par-les-gendarmes-en-picardie-1585867586,17
Val-de-Marne,Toutes,2020-03-18,2020-03-22,28349,4134,http://www.leparisien.fr/val-de-marne-94/confinement-dans-le-val-de-marne-deja-pres-de-23-000-controles-de-police-22-03-2020-8285463.php,5
Val-de-Marne,Toutes,2020-03-18,2020-04-25,163553,22471,http://webcache.googleusercontent.com/search?q=cache:oFdQ3ypukX8J:www.leparisien.fr/seine-saint-denis-93/ile-de-france-les-bons-et-les-mauvais-eleves-du-confinement-28-04-2020-8307309.php+&cd=3&hl=fr&ct=clnk&gl=fr&client=firefox-b-d,39
Val-de-Marne,ZP,2020-03-18,2020-05-10,171000,22900,"https://94.citoyens.com/2020/police-du-confinement-22-900-verbalisations-en-val-de-marne,11-05-2020.html",54
Var,Toutes,2020-03-18,2020-04-15,200000,13400,https://www.ouest-france.fr/provence-alpes-cote-dazur/var/confinement-plus-de-200-000-controles-effectues-dans-le-var-mais-peu-d-infractions-relevees-6809870,29
Yonne,Toutes,2020-03-18,2020-03-23,12000,315,https://presse-evasion.fr/index.php/component/k2/21-societe/12661-la-verbalisation-garante-du-respect-du-confinement-gendarmes-et-policiers-sont-en-premiere-ligne,6
Yonne,ZG,2020-03-18,2020-05-10,135000,3800,https://www.lyonne.fr/auxerre-89000/actualites/controles-depistages-reprise-economique-le-deconfinement-dans-l-yonne-decrypte-par-le-prefet_13788369/,54
